,Target,Model1,Model2
0,26.060000511407853,31.051007875204085,30.842075004577637
1,10.349999957829715,4.445766906142235,9.940608490109446
2,74.99,43.42088547468185,48.48734269142151
3,59.000001780986786,45.126091358661654,47.63764763593674
4,52.11999948740006,38.85419266223908,32.517605743408204
5,48.14999926805496,36.61085011601448,36.12922120332718
6,17.200000122189522,27.511105307340625,31.71602967500687
7,55.25000032901764,50.26281569242477,53.14619753599167
8,34.67999918222427,25.23842659711838,24.095275967121125
9,61.46000025033951,46.328902671337126,47.18868547916412
10,27.629999883174897,32.34837450861931,27.625868805646896
11,41.64000102758408,40.12657679319382,42.698716762065885
12,26.85000016927719,16.087684524655344,18.81843602061272
13,61.07000039339066,50.26281569242477,53.14619753599167
14,66.95000012159348,46.63086953163147,45.79379437685013
15,48.789999766349794,34.92885218858719,33.74071916818619
16,24.049999520778655,9.396617255806923,12.919719836115839
17,21.160000397562982,17.138707837462427,20.460542401075365
18,6.94000001495704,5.003761278241873,11.069934406876564
19,28.600000574588776,49.933893704414366,53.55619319677353
20,33.94999918818474,20.97721297979355,23.749611169099808
21,25.72000037431717,17.836278975009918,20.761345289945602
22,35.1700005209446,28.224828079938888,26.612537746429446
23,32.24000060081482,23.199806203842165,21.592785393595697
24,33.80000002861023,35.68241545677185,36.38887872338295
25,35.07999898314476,22.3105126363039,23.045412541627886
26,52.910001187324525,54.88882203817368,50.958213062286376
27,40.92999887943268,35.53034565329552,35.92479514837265
28,42.349999091625214,29.0692648434639,27.093560168743135
29,53.38999849796295,46.93536445617676,49.76507700681687
30,64.30000067472459,53.616319468021395,54.98572163820267
31,14.640000171065331,10.655166718512774,15.358340030312538
32,53.57999947547913,42.56140897512436,45.01374156951904
33,24.580000635385513,25.85779417037964,30.984283723831176
34,13.200000070929528,14.229526158869268,16.843331710100173
35,18.909999730587007,11.688146687448025,15.88809099316597
36,7.400000022128224,21.31969829797745,25.118639643192292
37,49.19999951124191,49.701565008163456,50.14296339273453
38,6.810000009462238,10.46857597306371,14.986193861365319
39,27.339999465942384,17.11137697160244,18.365689935684205
40,39.59000026106835,22.41792677819729,22.265231084823608
41,55.64000018596649,41.86091871976853,39.945585362911224
42,18.019999611973763,27.240381890535357,31.31111873149872
43,48.71999811649322,33.32070110082626,32.492225040197376
44,36.799999556541444,30.687724225521087,32.36958125114441
45,46.68000137805939,43.26194007158279,44.23767485380173
46,40.869999215602874,33.7553729557991,32.92635983467102
47,17.239999898076057,10.614153062254191,14.36352632701397
48,33.939999244213105,33.02356370091439,33.90745296955109
49,15.570000065565111,20.877464712858202,24.783942723274233
50,40.270000535249714,52.743095853328704,49.91885601043701
51,29.980001010894775,22.10168084740639,21.625081516504288
52,20.729999743700027,18.200660229325294,24.297212756872177
53,27.6599997150898,16.35429524242878,17.153266669511797
54,29.730000369548797,26.285821177959445,29.68461365222931
55,42.130000324249266,33.65694998264313,33.05061480522156
56,41.04999820709229,39.49265549302101,39.618260262012484
57,61.92000175714493,53.25847789525986,54.15027604341507
58,37.420000166893004,25.743773980140688,27.16261022090912
59,37.91999940752983,36.463301422595976,33.3436864733696
60,32.71999995350838,40.55835301399231,35.783917849063876
61,14.940000021755697,22.699351584911348,26.948296535015107
62,44.0900015950203,34.62989327549934,33.51157199382782
63,26.91999977707863,20.65046986460686,24.191091235876083
64,13.6600000461936,9.631402544379235,15.02080618530512
65,63.13999900579453,38.28576415419579,37.870724617242814
66,35.2300001847744,26.654009844064714,27.712008817195894
67,31.41999906897545,19.615135661363603,17.254468879699708
68,38.800000603199,30.88925056219101,33.208955760002134
69,29.589999111890794,38.0268948674202,32.93855907201767
70,22.50000003695488,25.49316276431084,27.144497191905977
71,17.340000358819964,7.601992968395352,12.193422088027
72,15.870000426769257,14.472520509064198,17.18057711482048
73,44.859999322891234,23.494731037020685,24.333512328863144
74,15.419999884963037,27.204400879144668,28.098228830099107
75,45.849999902248385,13.345422474443913,14.944874407351017
76,25.449999845027925,23.63665080547333,25.97413005113602
77,39.299999843835835,28.235851093530655,27.732535555362702
78,27.92000030040741,14.27035603016615,16.823368579149246
79,52.500001442432406,34.06425421476364,36.465167860984806
80,30.569999747276306,19.110706182122232,21.371862596273424
81,14.58999994069338,11.424128358662129,15.936834849119187
82,57.029998524189,47.657561757564544,50.262864701747894
83,6.47,0.056305589973926706,6.239865491986275
84,33.42000011563301,28.547717837095263,26.133673776388168
85,31.450000942945483,17.059698682427406,19.137128333449365
86,36.149999114274976,55.436358280181885,53.9382657957077
87,14.39999998420477,3.608557741492987,14.57331839233637
88,13.360000195503236,9.839594914764167,14.252775467038155
89,8.540000016316771,7.843010481595993,10.557102891802788
90,40.29000042319298,41.668973705768586,45.034970774650574
91,32.03999967932701,17.491544333100318,19.382404680252076
92,29.720000425577165,25.81132516384125,29.42523180961609
93,23.85000064134598,23.571183539032937,23.726586997509003
94,69.30000124931335,61.05558348417282,67.89476509571075
95,61.2299994969368,42.48088665723801,42.313964986801146
96,32.920000874996184,25.49472493648529,24.496903285980224
97,39.69999964475632,26.048571128845214,25.069330137968063
98,33.400000227689745,27.185399556159975,26.587097823619843
99,39.27000001192093,22.139411900043488,22.652341433763507
100,18.1300000166893,8.324935492277145,11.607765781879426
101,33.01000037074089,19.833106667995455,26.08731095671654
102,33.72000047683716,27.419937756061554,28.926447591781617
